issue,frequency
"('content issue', 'not satisfactory or free content')",18
"('customer support', 'reply issue')",7
"('login issue', 'order completed but does not have the course')",6
"('login issue', 'no login details')",5
"('exam issue', 'question quality problem')",3
"('content issue', 'us reference')",3
"('content issue', 'outdated info')",3
"('content issue', 'grammatical errors & spelling mistake')",3
"('software issue', 'link issue (mainly for ms office package online share)')",2
"('exam issue', 'certificate issue')",2
"('customer support', 'refund issue')",2
"('content issue', 'tutor problem')",2
